Date,Description,Type,Category,Amount,Balance
2023-03-30,Groceries,Debit,Groceries,-6663.0,-289865.0
2023-03-30,Travel,Debit,Travel,-1571.0,-291436.0
2023-03-31,Rent,Debit,Rent,-6213.0,-297649.0
2023-03-31,Travel,Debit,Travel,-6926.0,-304575.0
2023-04-01,Salary,Credit,Income,57881.25,-246693.75
2023-04-01,Rent,Debit,Rent,-1157.0,-247850.75
2023-04-01,Rent,Debit,Rent,-6759.0,-254609.75
2023-04-01,Shopping,Debit,Shopping,-1047.0,-255656.75
2023-04-02,Fuel,Debit,Fuel,-3924.0,-259580.75
2023-04-02,Dining,Debit,Dining,-1879.0,-261459.75
2023-04-02,Travel,Debit,Travel,-1782.0,-263241.75
2023-04-03,Rent,Debit,Rent,-5080.0,-268321.75
2023-04-04,Shopping,Debit,Shopping,-396.0,-268717.75
2023-04-04,Travel,Debit,Travel,-4377.0,-273094.75
2023-04-04,Dining,Debit,Dining,-4268.0,-277362.75
2023-04-05,Travel,Debit,Travel,-6312.0,-283674.75
2023-04-07,Travel,Debit,Travel,-4448.0,-288122.75
2023-04-07,Groceries,Debit,Groceries,-2095.0,-290217.75
2023-04-08,Dining,Debit,Dining,-1327.0,-291544.75
2023-04-08,Fuel,Debit,Fuel,-1658.0,-293202.75
2023-04-10,Shopping,Debit,Shopping,-5448.0,-298650.75
2023-04-11,Shopping,Debit,Shopping,-6451.0,-305101.75
2023-04-12,Utilities,Debit,Utilities,-423.0,-305524.75
2023-04-12,Groceries,Debit,Groceries,-4806.0,-310330.75
2023-04-12,Shopping,Debit,Shopping,-2203.0,-312533.75
2023-04-13,Rent,Debit,Rent,-5470.0,-318003.75
2023-04-14,Dining,Debit,Dining,-3756.0,-321759.75
2023-04-14,Groceries,Debit,Groceries,-4507.0,-326266.75
2023-04-15,Utilities,Debit,Utilities,-3601.0,-329867.75
2023-04-17,Utilities,Debit,Utilities,-4067.0,-333934.75
2023-04-18,Shopping,Debit,Shopping,-1229.0,-335163.75
2023-04-18,Travel,Debit,Travel,-3236.0,-338399.75
2023-04-19,Travel,Debit,Travel,-6999.0,-345398.75
2023-04-20,Dining,Debit,Dining,-4920.0,-350318.75
2023-04-20,Dining,Debit,Dining,-2037.0,-352355.75
2023-04-21,Dining,Debit,Dining,-6007.0,-358362.75
2023-04-21,Medical,Debit,Medical,-5063.0,-363425.75
2023-04-23,Groceries,Debit,Groceries,-616.0,-364041.75
2023-04-23,Dining,Debit,Dining,-3867.0,-367908.75
2023-04-23,Utilities,Debit,Utilities,-5539.0,-373447.75
2023-04-24,Dining,Debit,Dining,-4017.0,-377464.75
2023-04-25,Dining,Debit,Dining,-808.0,-378272.75
2023-04-25,Shopping,Debit,Shopping,-5234.0,-383506.75
2023-04-25,Groceries,Debit,Groceries,-2008.0,-385514.75
2023-04-26,Medical,Debit,Medical,-1702.0,-387216.75
2023-04-26,Medical,Debit,Medical,-1947.0,-389163.75
2023-04-26,Groceries,Debit,Groceries,-2263.0,-391426.75
2023-04-27,Dining,Debit,Dining,-2243.0,-393669.75
2023-04-28,Fuel,Debit,Fuel,-347.0,-394016.75
2023-04-29,Shopping,Debit,Shopping,-6346.0,-400362.75
2023-04-29,Fuel,Debit,Fuel,-6827.0,-407189.75
2023-04-30,Utilities,Debit,Utilities,-2199.0,-409388.75
2023-04-30,Groceries,Debit,Groceries,-5814.0,-415202.75
2023-05-01,Salary,Credit,Income,60775.31,-354427.44
2023-05-02,Groceries,Debit,Groceries,-5676.0,-360103.44
2023-05-02,Fuel,Debit,Fuel,-2282.0,-362385.44
2023-05-02,Fuel,Debit,Fuel,-1858.0,-364243.44
2023-05-03,Medical,Debit,Medical,-6942.0,-371185.44
2023-05-03,Travel,Debit,Travel,-4201.0,-375386.44
2023-05-05,Shopping,Debit,Shopping,-2608.0,-377994.44
2023-05-06,Fuel,Debit,Fuel,-3687.0,-381681.44
2023-05-06,Dining,Debit,Dining,-6537.0,-388218.44
2023-05-06,Rent,Debit,Rent,-275.0,-388493.44
2023-05-08,Fuel,Debit,Fuel,-5082.0,-393575.44
2023-05-08,Utilities,Debit,Utilities,-2492.0,-396067.44
2023-05-10,Utilities,Debit,Utilities,-261.0,-396328.44
2023-05-12,Fuel,Debit,Fuel,-4843.0,-401171.44
2023-05-13,Utilities,Debit,Utilities,-5992.0,-407163.44
2023-05-14,Groceries,Debit,Groceries,-2684.0,-409847.44
2023-05-14,Rent,Debit,Rent,-1583.0,-411430.44
2023-05-15,Travel,Debit,Travel,-2490.0,-413920.44
2023-05-16,Travel,Debit,Travel,-1578.0,-415498.44
2023-05-16,Rent,Debit,Rent,-5580.0,-421078.44
2023-05-16,Rent,Debit,Rent,-4585.0,-425663.44
2023-05-17,Travel,Debit,Travel,-1196.0,-426859.44
2023-05-18,Medical,Debit,Medical,-5128.0,-431987.44
2023-05-18,Groceries,Debit,Groceries,-5109.0,-437096.44
2023-05-19,Travel,Debit,Travel,-2140.0,-439236.44
2023-05-20,Medical,Debit,Medical,-3933.0,-443169.44
2023-05-20,Medical,Debit,Medical,-3214.0,-446383.44
2023-05-21,Dining,Debit,Dining,-2099.0,-448482.44
2023-05-21,Dining,Debit,Dining,-5462.0,-453944.44
2023-05-22,Rent,Debit,Rent,-5193.0,-459137.44
2023-05-22,Travel,Debit,Travel,-6381.0,-465518.44
2023-05-23,Medical,Debit,Medical,-4481.0,-469999.44
2023-05-23,Shopping,Debit,Shopping,-4565.0,-474564.44
2023-05-23,Rent,Debit,Rent,-3321.0,-477885.44
2023-05-24,Shopping,Debit,Shopping,-5120.0,-483005.44
2023-05-24,Travel,Debit,Travel,-5878.0,-488883.44
2023-05-24,Utilities,Debit,Utilities,-4233.0,-493116.44
2023-05-25,Fuel,Debit,Fuel,-4962.0,-498078.44
2023-05-25,Rent,Debit,Rent,-2214.0,-500292.44
2023-05-25,Groceries,Debit,Groceries,-3514.0,-503806.44
2023-05-27,Rent,Debit,Rent,-4376.0,-508182.44
2023-05-27,Rent,Debit,Rent,-4232.0,-512414.44
2023-05-28,Fuel,Debit,Fuel,-6696.0,-519110.44
2023-05-29,Travel,Debit,Travel,-5642.0,-524752.44
2023-05-29,Rent,Debit,Rent,-364.0,-525116.44
2023-05-29,Shopping,Debit,Shopping,-6178.0,-531294.44
2023-05-30,Shopping,Debit,Shopping,-5834.0,-537128.44
2023-05-31,Utilities,Debit,Utilities,-5986.0,-543114.44
2023-05-31,Travel,Debit,Travel,-1305.0,-544419.44
2023-05-31,Fuel,Debit,Fuel,-5660.0,-550079.44
2023-06-01,Salary,Credit,Income,63814.08,-486265.36
2023-06-01,Shopping,Debit,Shopping,-1430.0,-487695.36
2023-06-05,Shopping,Debit,Shopping,-5055.0,-492750.36
2023-06-05,Dining,Debit,Dining,-3937.0,-496687.36
2023-06-06,Dining,Debit,Dining,-1846.0,-498533.36
2023-06-07,Dining,Debit,Dining,-3924.0,-502457.36
2023-06-07,Dining,Debit,Dining,-5588.0,-508045.36
2023-06-08,Dining,Debit,Dining,-5782.0,-513827.36
2023-06-08,Travel,Debit,Travel,-3108.0,-516935.36
2023-06-08,Dining,Debit,Dining,-2759.0,-519694.36
2023-06-11,Shopping,Debit,Shopping,-1085.0,-520779.36
2023-06-12,Medical,Debit,Medical,-2143.0,-522922.36
2023-06-12,Groceries,Debit,Groceries,-5234.0,-528156.36
2023-06-12,Utilities,Debit,Utilities,-2399.0,-530555.36
2023-06-13,Groceries,Debit,Groceries,-6538.0,-537093.36
2023-06-13,Utilities,Debit,Utilities,-1951.0,-539044.36
2023-06-13,Utilities,Debit,Utilities,-1272.0,-540316.36
2023-06-15,Shopping,Debit,Shopping,-1183.0,-541499.36
2023-06-15,Rent,Debit,Rent,-6306.0,-547805.36
2023-06-15,Rent,Debit,Rent,-6954.0,-554759.36
2023-06-16,Travel,Debit,Travel,-6467.0,-561226.36
2023-06-16,Shopping,Debit,Shopping,-2527.0,-563753.36
2023-06-16,Rent,Debit,Rent,-6653.0,-570406.36
2023-06-17,Utilities,Debit,Utilities,-2307.0,-572713.36
2023-06-17,Utilities,Debit,Utilities,-1359.0,-574072.36
2023-06-18,Rent,Debit,Rent,-6235.0,-580307.36
2023-06-19,Shopping,Debit,Shopping,-3962.0,-584269.36
2023-06-20,Rent,Debit,Rent,-6577.0,-590846.36
2023-06-20,Medical,Debit,Medical,-5788.0,-596634.36
2023-06-21,Fuel,Debit,Fuel,-1294.0,-597928.36
2023-06-23,Travel,Debit,Travel,-5667.0,-603595.36
2023-06-24,Travel,Debit,Travel,-5984.0,-609579.36
2023-06-25,Travel,Debit,Travel,-4384.0,-613963.36
2023-06-26,Fuel,Debit,Fuel,-2948.0,-616911.36
2023-06-29,Rent,Debit,Rent,-2319.0,-619230.36
2023-06-30,Medical,Debit,Medical,-5955.0,-625185.36
2023-06-30,Utilities,Debit,Utilities,-5598.0,-630783.36
2023-06-30,Travel,Debit,Travel,-5963.0,-636746.36
2023-07-01,Salary,Credit,Income,67004.78,-569741.58
2023-07-03,Medical,Debit,Medical,-4918.0,-574659.58
2023-07-04,Groceries,Debit,Groceries,-5046.0,-579705.58
2023-07-04,Utilities,Debit,Utilities,-3507.0,-583212.58
2023-07-04,Medical,Debit,Medical,-1861.0,-585073.58
2023-07-06,Shopping,Debit,Shopping,-4851.0,-589924.58
2023-07-06,Groceries,Debit,Groceries,-6225.0,-596149.58
2023-07-06,Utilities,Debit,Utilities,-766.0,-596915.58
2023-07-07,Dining,Debit,Dining,-6221.0,-603136.58
2023-07-07,Utilities,Debit,Utilities,-2593.0,-605729.58
2023-07-07,Shopping,Debit,Shopping,-5988.0,-611717.58
2023-07-08,Groceries,Debit,Groceries,-5870.0,-617587.58
2023-07-09,Utilities,Debit,Utilities,-293.0,-617880.58
2023-07-09,Groceries,Debit,Groceries,-4160.0,-622040.58
2023-07-10,Travel,Debit,Travel,-1044.0,-623084.58
2023-07-10,Groceries,Debit,Groceries,-5102.0,-628186.58
2023-07-10,Rent,Debit,Rent,-3961.0,-632147.58
2023-07-11,Fuel,Debit,Fuel,-732.0,-632879.58
2023-07-11,Dining,Debit,Dining,-2535.0,-635414.58
2023-07-11,Rent,Debit,Rent,-2702.0,-638116.58
2023-07-12,Groceries,Debit,Groceries,-5504.0,-643620.58
2023-07-13,Shopping,Debit,Shopping,-3216.0,-646836.58
2023-07-13,Groceries,Debit,Groceries,-1140.0,-647976.58
2023-07-13,Dining,Debit,Dining,-4640.0,-652616.58
2023-07-14,Medical,Debit,Medical,-2578.0,-655194.58
2023-07-14,Shopping,Debit,Shopping,-2555.0,-657749.58
2023-07-15,Shopping,Debit,Shopping,-2531.0,-660280.58
2023-07-15,Fuel,Debit,Fuel,-5414.0,-665694.58
2023-07-16,Medical,Debit,Medical,-4752.0,-670446.58
2023-07-17,Dining,Debit,Dining,-2200.0,-672646.58
2023-07-19,Medical,Debit,Medical,-358.0,-673004.58
2023-07-19,Rent,Debit,Rent,-895.0,-673899.58
2023-07-19,Fuel,Debit,Fuel,-4886.0,-678785.58
2023-07-20,Travel,Debit,Travel,-4916.0,-683701.58
2023-07-21,Rent,Debit,Rent,-518.0,-684219.58
2023-07-23,Shopping,Debit,Shopping,-5432.0,-689651.58
2023-07-24,Groceries,Debit,Groceries,-4584.0,-694235.58
2023-07-24,Travel,Debit,Travel,-1483.0,-695718.58
2023-07-25,Dining,Debit,Dining,-5060.0,-700778.58
2023-07-26,Fuel,Debit,Fuel,-4825.0,-705603.58
2023-07-26,Rent,Debit,Rent,-1800.0,-707403.58
2023-07-26,Utilities,Debit,Utilities,-4420.0,-711823.58
2023-07-28,Travel,Debit,Travel,-4517.0,-716340.58
2023-07-29,Shopping,Debit,Shopping,-5741.0,-722081.58
2023-07-29,Medical,Debit,Medical,-3252.0,-725333.58
2023-07-29,Rent,Debit,Rent,-5204.0,-730537.58
2023-07-31,Rent,Debit,Rent,-5750.0,-736287.58
2023-07-31,Fuel,Debit,Fuel,-3516.0,-739803.58
2023-08-01,Salary,Credit,Income,70355.02,-669448.56
2023-08-01,Fuel,Debit,Fuel,-3839.0,-673287.56
2023-08-01,Rent,Debit,Rent,-1667.0,-674954.56
2023-08-02,Groceries,Debit,Groceries,-2652.0,-677606.56
2023-08-03,Groceries,Debit,Groceries,-4814.0,-682420.56
2023-08-04,Travel,Debit,Travel,-2051.0,-684471.56
2023-08-05,Dining,Debit,Dining,-5105.0,-689576.56
2023-08-05,Fuel,Debit,Fuel,-734.0,-690310.56
2023-08-05,Dining,Debit,Dining,-6741.0,-697051.56
2023-08-06,Travel,Debit,Travel,-2355.0,-699406.56
2023-08-07,Utilities,Debit,Utilities,-917.0,-700323.56
2023-08-07,Dining,Debit,Dining,-3699.0,-704022.56
2023-08-08,Groceries,Debit,Groceries,-1595.0,-705617.56
2023-08-08,Dining,Debit,Dining,-2789.0,-708406.56
2023-08-08,Utilities,Debit,Utilities,-3707.0,-712113.56
2023-08-09,Medical,Debit,Medical,-675.0,-712788.56
2023-08-09,Travel,Debit,Travel,-4673.0,-717461.56
2023-08-09,Travel,Debit,Travel,-4571.0,-722032.56
2023-08-10,Medical,Debit,Medical,-1074.0,-723106.56
2023-08-11,Groceries,Debit,Groceries,-6478.0,-729584.56
2023-08-11,Medical,Debit,Medical,-4410.0,-733994.56
2023-08-11,Dining,Debit,Dining,-6396.0,-740390.56
2023-08-12,Rent,Debit,Rent,-5861.0,-746251.56
2023-08-13,Rent,Debit,Rent,-460.0,-746711.56
2023-08-13,Medical,Debit,Medical,-4801.0,-751512.56
2023-08-14,Dining,Debit,Dining,-4761.0,-756273.56
2023-08-16,Travel,Debit,Travel,-5864.0,-762137.56
2023-08-16,Shopping,Debit,Shopping,-295.0,-762432.56
2023-08-17,Rent,Debit,Rent,-5114.0,-767546.56
2023-08-18,Travel,Debit,Travel,-2057.0,-769603.56
2023-08-18,Groceries,Debit,Groceries,-3083.0,-772686.56
2023-08-19,Travel,Debit,Travel,-5223.0,-777909.56
2023-08-19,Fuel,Debit,Fuel,-4920.0,-782829.56
2023-08-19,Travel,Debit,Travel,-2269.0,-785098.56
2023-08-20,Groceries,Debit,Groceries,-6440.0,-791538.56
2023-08-20,Groceries,Debit,Groceries,-1460.0,-792998.56
2023-08-21,Utilities,Debit,Utilities,-5319.0,-798317.56
2023-08-22,Fuel,Debit,Fuel,-6651.0,-804968.56
2023-08-22,Groceries,Debit,Groceries,-5045.0,-810013.56
2023-08-23,Shopping,Debit,Shopping,-3339.0,-813352.56
2023-08-24,Fuel,Debit,Fuel,-1078.0,-814430.56
2023-08-25,Dining,Debit,Dining,-3767.0,-818197.56
2023-08-25,Fuel,Debit,Fuel,-4571.0,-822768.56
2023-08-26,Utilities,Debit,Utilities,-5684.0,-828452.56
2023-08-26,Groceries,Debit,Groceries,-427.0,-828879.56
2023-08-26,Rent,Debit,Rent,-3808.0,-832687.56
2023-08-27,Rent,Debit,Rent,-939.0,-833626.56
2023-08-27,Fuel,Debit,Fuel,-6501.0,-840127.56
2023-08-27,Utilities,Debit,Utilities,-4846.0,-844973.56
2023-08-29,Utilities,Debit,Utilities,-6140.0,-851113.56
2023-08-31,Medical,Debit,Medical,-2154.0,-853267.56
2023-08-31,Fuel,Debit,Fuel,-2711.0,-855978.56
2023-09-01,Salary,Credit,Income,73872.77,-782105.78
2023-09-01,Travel,Debit,Travel,-3713.0,-785818.78
2023-09-01,Utilities,Debit,Utilities,-298.0,-786116.78
2023-09-02,Travel,Debit,Travel,-3285.0,-789401.78
2023-09-02,Groceries,Debit,Groceries,-6790.0,-796191.78
2023-09-03,Fuel,Debit,Fuel,-4611.0,-800802.78
2023-09-04,Travel,Debit,Travel,-5226.0,-806028.78
2023-09-04,Shopping,Debit,Shopping,-6035.0,-812063.78
2023-09-05,Rent,Debit,Rent,-4262.0,-816325.78
2023-09-05,Fuel,Debit,Fuel,-5165.0,-821490.78
2023-09-05,Medical,Debit,Medical,-3616.0,-825106.78
2023-09-07,Utilities,Debit,Utilities,-2601.0,-827707.78
2023-09-07,Dining,Debit,Dining,-2937.0,-830644.78
2023-09-09,Rent,Debit,Rent,-1243.0,-831887.78
2023-09-09,Dining,Debit,Dining,-4903.0,-836790.78
2023-09-10,Fuel,Debit,Fuel,-483.0,-837273.78
2023-09-10,Travel,Debit,Travel,-992.0,-838265.78
2023-09-11,Groceries,Debit,Groceries,-5386.0,-843651.78
2023-09-11,Dining,Debit,Dining,-4271.0,-847922.78
2023-09-11,Rent,Debit,Rent,-2487.0,-850409.78
2023-09-12,Dining,Debit,Dining,-3805.0,-854214.78
2023-09-12,Rent,Debit,Rent,-5727.0,-859941.78
2023-09-12,Travel,Debit,Travel,-6797.0,-866738.78
2023-09-13,Groceries,Debit,Groceries,-1300.0,-868038.78
2023-09-14,Shopping,Debit,Shopping,-6345.0,-874383.78
2023-09-14,Fuel,Debit,Fuel,-2838.0,-877221.78
2023-09-14,Rent,Debit,Rent,-397.0,-877618.78
2023-09-15,Shopping,Debit,Shopping,-1016.0,-878634.78
2023-09-16,Rent,Debit,Rent,-6430.0,-885064.78
2023-09-16,Dining,Debit,Dining,-5022.0,-890086.78
2023-09-16,Utilities,Debit,Utilities,-6867.0,-896953.78
2023-09-17,Travel,Debit,Travel,-1443.0,-898396.78
2023-09-18,Groceries,Debit,Groceries,-360.0,-898756.78
2023-09-18,Fuel,Debit,Fuel,-1104.0,-899860.78
2023-09-19,Medical,Debit,Medical,-1669.0,-901529.78
2023-09-20,Travel,Debit,Travel,-1605.0,-903134.78
2023-09-20,Shopping,Debit,Shopping,-3566.0,-906700.78
2023-09-20,Shopping,Debit,Shopping,-6886.0,-913586.78
2023-09-21,Utilities,Debit,Utilities,-5273.0,-918859.78
2023-09-21,Travel,Debit,Travel,-4267.0,-923126.78
2023-09-23,Rent,Debit,Rent,-2429.0,-925555.78
2023-09-23,Medical,Debit,Medical,-416.0,-925971.78
2023-09-23,Shopping,Debit,Shopping,-6544.0,-932515.78
2023-09-24,Shopping,Debit,Shopping,-3578.0,-936093.78
2023-09-24,Groceries,Debit,Groceries,-4305.0,-940398.78
2023-09-26,Fuel,Debit,Fuel,-4720.0,-945118.78
2023-09-26,Fuel,Debit,Fuel,-823.0,-945941.78
2023-09-27,Travel,Debit,Travel,-1750.0,-947691.78
2023-09-27,Dining,Debit,Dining,-4962.0,-952653.78
2023-09-28,Travel,Debit,Travel,-2471.0,-955124.78
2023-09-29,Rent,Debit,Rent,-6251.0,-961375.78
2023-09-30,Utilities,Debit,Utilities,-5887.0,-967262.78
2023-09-30,Utilities,Debit,Utilities,-6664.0,-973926.78
2023-09-30,Rent,Debit,Rent,-5208.0,-979134.78
2023-10-01,Salary,Credit,Income,77566.41,-901568.37
2023-10-01,Fuel,Debit,Fuel,-2890.0,-904458.37
2023-10-01,Shopping,Debit,Shopping,-5432.0,-909890.37
2023-10-01,Utilities,Debit,Utilities,-6730.0,-916620.37
