Date,Narration,Chq/Ref No,Value Date,Withdrawal Amt,Deposit Amt,Closing Balance
09/07/2025,UPI APOLLO PHARMACY,,09/07/2025,780.00,,241360.00
10/07/2025,NEFT FREELANCE JULY PAYMENT,,10/07/2025,,30000.00,271360.00
11/07/2025,UPI SPOTIFY,,11/07/2025,119.00,,271241.00
12/07/2025,UPI ZOMATO,,12/07/2025,340.00,,270901.00
13/07/2025,UPI MYNTRA SALE,,13/07/2025,5600.00,,265301.00
14/07/2025,UPI HDFC BROADBAND,,14/07/2025,999.00,,264302.00
15/07/2025,UPI METRO RECHARGE,,15/07/2025,500.00,,263802.00
16/07/2025,UPI HOTSTAR,,16/07/2025,299.00,,263503.00
17/07/2025,UPI JIOMART,,17/07/2025,1950.00,,261553.00
18/07/2025,UPI OLA CAB,,18/07/2025,260.00,,261293.00
20/07/2025,UPI SWIGGY,,20/07/2025,420.00,,260873.00
22/07/2025,UPI FLIPKART,,22/07/2025,2499.00,,258374.00
25/07/2025,UPI BIGBASKET,,25/07/2025,1800.00,,256574.00
28/07/2025,UPI ZOMATO,,28/07/2025,550.00,,256024.00
01/08/2025,NEFT SALARY AUGUST 2025 TECHCORP PVT LTD,,01/08/2025,,95000.00,351024.00
01/08/2025,NEFT RENT PAYMENT AUGUST 2025,,01/08/2025,22000.00,,329024.00
02/08/2025,UPI SWIGGY,,02/08/2025,460.00,,328564.00
03/08/2025,UPI NETFLIX,,03/08/2025,649.00,,327915.00
04/08/2025,UPI AMAZON BACK TO SCHOOL,,04/08/2025,3299.00,,324616.00
05/08/2025,UPI BIGBASKET,,05/08/2025,2500.00,,322116.00
06/08/2025,UPI PETROL BPCL,,06/08/2025,1400.00,,320716.00
07/08/2025,UPI ELECTRICITY BILL,,07/08/2025,1950.00,,318766.00
08/08/2025,UPI CULT GYM,,08/08/2025,2500.00,,316266.00
09/08/2025,UPI APOLLO HOSPITAL CHECKUP,,09/08/2025,2500.00,,313766.00
10/08/2025,UPI SPOTIFY,,10/08/2025,119.00,,313647.00
11/08/2025,UPI ZOMATO,,11/08/2025,380.00,,313267.00
12/08/2025,UPI MYNTRA,,12/08/2025,1999.00,,311268.00
13/08/2025,UPI HDFC BROADBAND,,13/08/2025,999.00,,310269.00
14/08/2025,UPI METRO CARD,,14/08/2025,500.00,,309769.00
15/08/2025,UPI HOTSTAR,,15/08/2025,299.00,,309470.00
16/08/2025,UPI JIOMART,,16/08/2025,2100.00,,307370.00
18/08/2025,UPI SWIGGY,,18/08/2025,440.00,,306930.00
20/08/2025,NEFT FREELANCE AUGUST,,20/08/2025,,25000.00,331930.00
22/08/2025,UPI OLA,,22/08/2025,290.00,,331640.00
24/08/2025,UPI FLIPKART,,24/08/2025,4500.00,,327140.00
26/08/2025,UPI BIGBASKET,,26/08/2025,2000.00,,325140.00
28/08/2025,UPI ZOMATO,,28/08/2025,420.00,,324720.00
01/09/2025,NEFT SALARY SEPTEMBER 2025 TECHCORP PVT LTD,,01/09/2025,,95000.00,419720.00
01/09/2025,NEFT RENT PAYMENT SEPTEMBER 2025,,01/09/2025,22000.00,,397720.00
02/09/2025,UPI SWIGGY,,02/09/2025,510.00,,397210.00
03/09/2025,UPI NETFLIX,,03/09/2025,649.00,,396561.00
04/09/2025,UPI AMAZON SALE,,04/09/2025,7500.00,,389061.00
05/09/2025,UPI BIGBASKET,,05/09/2025,2400.00,,386661.00
06/09/2025,NEFT DIVIDEND INFOSYS,,06/09/2025,,4200.00,390861.00
07/09/2025,UPI PETROL HPCL,,07/09/2025,1600.00,,389261.00
08/09/2025,UPI ELECTRICITY,,08/09/2025,2050.00,,387211.00
09/09/2025,UPI CULT GYM,,09/09/2025,2500.00,,384711.00
10/09/2025,UPI APOLLO PHARMACY,,10/09/2025,680.00,,384031.00
11/09/2025,UPI SPOTIFY,,11/09/2025,119.00,,383912.00
12/09/2025,UPI ZOMATO,,12/09/2025,460.00,,383452.00
13/09/2025,UPI MYNTRA,,13/09/2025,3299.00,,380153.00
14/09/2025,UPI HDFC BROADBAND,,14/09/2025,999.00,,379154.00
15/09/2025,UPI METRO,,15/09/2025,500.00,,378654.00
16/09/2025,UPI HOTSTAR,,16/09/2025,299.00,,378355.00
17/09/2025,UPI JIOMART,,17/09/2025,1900.00,,376455.00
18/09/2025,UPI OLA,,18/09/2025,320.00,,376135.00
20/09/2025,UPI SWIGGY,,20/09/2025,390.00,,375745.00
22/09/2025,UPI FLIPKART,,22/09/2025,2999.00,,372746.00
25/09/2025,UPI BIGBASKET,,25/09/2025,2200.00,,370546.00
28/09/2025,UPI ZOMATO,,28/09/2025,480.00,,370066.00
01/10/2025,NEFT SALARY OCTOBER 2025 TECHCORP PVT LTD,,01/10/2025,,95000.00,465066.00
01/10/2025,NEFT RENT PAYMENT OCTOBER 2025,,01/10/2025,22000.00,,443066.00
02/10/2025,UPI SWIGGY DUSSEHRA,,02/10/2025,890.00,,442176.00
03/10/2025,UPI NETFLIX,,03/10/2025,649.00,,441527.00
04/10/2025,UPI AMAZON FESTIVE SALE,,04/10/2025,12500.00,,429027.00
05/10/2025,UPI FLIPKART BIG BILLION DAY,,05/10/2025,8999.00,,420028.00
06/10/2025,UPI BIGBASKET,,06/10/2025,2600.00,,417428.00
07/10/2025,UPI PETROL BPCL,,07/10/2025,1500.00,,415928.00
08/10/2025,UPI ELECTRICITY,,08/10/2025,1800.00,,414128.00
09/10/2025,UPI CULT GYM,,09/10/2025,2500.00,,411628.00
10/10/2025,NEFT DIWALI BONUS TECHCORP,,10/10/2025,,20000.00,431628.00
11/10/2025,UPI APOLLO PHARMACY,,11/10/2025,750.00,,430878.00
12/10/2025,UPI SPOTIFY,,12/10/2025,119.00,,430759.00
13/10/2025,UPI ZOMATO,,13/10/2025,520.00,,430239.00
14/10/2025,UPI MYNTRA FESTIVE,,14/10/2025,5499.00,,424740.00
15/10/2025,UPI HDFC BROADBAND,,15/10/2025,999.00,,423741.00
16/10/2025,UPI METRO,,16/10/2025,500.00,,423241.00
17/10/2025,UPI HOTSTAR,,17/10/2025,299.00,,422942.00
18/10/2025,UPI JIOMART,,18/10/2025,2200.00,,420742.00
20/10/2025,UPI SWIGGY,,20/10/2025,440.00,,420302.00
22/10/2025,UPI OLA,,22/10/2025,300.00,,420002.00
25/10/2025,UPI BIGBASKET,,25/10/2025,2400.00,,417602.00
28/10/2025,UPI ZOMATO,,28/10/2025,390.00,,417212.00
01/11/2025,NEFT SALARY NOVEMBER 2025 TECHCORP PVT LTD,,01/11/2025,,95000.00,512212.00
01/11/2025,NEFT RENT PAYMENT NOVEMBER 2025,,01/11/2025,22000.00,,490212.00
02/11/2025,UPI SWIGGY,,02/11/2025,470.00,,489742.00
03/11/2025,UPI NETFLIX,,03/11/2025,649.00,,489093.00
04/11/2025,UPI AMAZON,,04/11/2025,3499.00,,485594.00
05/11/2025,UPI BIGBASKET,,05/11/2025,2300.00,,483294.00
06/11/2025,UPI PETROL IOCL,,06/11/2025,1400.00,,481894.00
07/11/2025,UPI ELECTRICITY,,07/11/2025,1750.00,,480144.00
08/11/2025,UPI CULT GYM,,08/11/2025,2500.00,,477644.00
09/11/2025,UPI APOLLO PHARMACY,,09/11/2025,620.00,,477024.00
10/11/2025,UPI SPOTIFY,,10/11/2025,119.00,,476905.00
11/11/2025,NEFT FREELANCE NOV PAYMENT,,11/11/2025,,20000.00,496905.00
12/11/2025,UPI ZOMATO,,12/11/2025,400.00,,496505.00
13/11/2025,UPI MYNTRA,,13/11/2025,2199.00,,494306.00
14/11/2025,UPI HDFC BROADBAND,,14/11/2025,999.00,,493307.00
15/11/2025,UPI METRO,,15/11/2025,500.00,,492807.00
16/11/2025,UPI HOTSTAR,,16/11/2025,299.00,,492508.00
17/11/2025,UPI JIOMART,,17/11/2025,1950.00,,490558.00
18/11/2025,UPI OLA,,18/11/2025,270.00,,490288.00
20/11/2025,UPI SWIGGY,,20/11/2025,430.00,,489858.00
22/11/2025,UPI FLIPKART,,22/11/2025,1999.00,,487859.00
25/11/2025,UPI BIGBASKET,,25/11/2025,2100.00,,485759.00
28/11/2025,UPI ZOMATO,,28/11/2025,460.00,,485299.00
01/12/2025,NEFT SALARY DECEMBER 2025 TECHCORP PVT LTD,,01/12/2025,,95000.00,580299.00
01/12/2025,NEFT RENT PAYMENT DECEMBER 2025,,01/12/2025,22000.00,,558299.00
02/12/2025,UPI SWIGGY,,02/12/2025,520.00,,557779.00
03/12/2025,UPI NETFLIX,,03/12/2025,649.00,,557130.00
04/12/2025,UPI AMAZON YEAR END,,04/12/2025,4500.00,,552630.00
05/12/2025,UPI BIGBASKET,,05/12/2025,2500.00,,550130.00
06/12/2025,UPI PETROL HPCL,,06/12/2025,1600.00,,548530.00
07/12/2025,UPI ELECTRICITY,,07/12/2025,1900.00,,546630.00
08/12/2025,UPI CULT GYM,,08/12/2025,2500.00,,544130.00
09/12/2025,NEFT ANNUAL BONUS TECHCORP,,09/12/2025,,50000.00,594130.00
10/12/2025,UPI APOLLO PHARMACY,,10/12/2025,720.00,,593410.00
11/12/2025,UPI SPOTIFY,,11/12/2025,119.00,,593291.00
12/12/2025,UPI ZOMATO,,12/12/2025,480.00,,592811.00
13/12/2025,UPI MYNTRA END OF YEAR SALE,,13/12/2025,6999.00,,585812.00
14/12/2025,UPI HDFC BROADBAND,,14/12/2025,999.00,,584813.00
15/12/2025,UPI METRO,,15/12/2025,500.00,,584313.00
16/12/2025,UPI HOTSTAR,,16/12/2025,299.00,,584014.00
17/12/2025,UPI JIOMART,,17/12/2025,2200.00,,581814.00
18/12/2025,UPI OLA,,18/12/2025,340.00,,581474.00
20/12/2025,UPI SWIGGY CHRISTMAS,,20/12/2025,650.00,,580824.00
22/12/2025,UPI FLIPKART,,22/12/2025,3299.00,,577525.00
25/12/2025,NEFT FREELANCE DEC BONUS,,25/12/2025,,15000.00,592525.00
26/12/2025,UPI BIGBASKET,,26/12/2025,2400.00,,590125.00
28/12/2025,UPI ZOMATO,,28/12/2025,510.00,,589615.00
30/12/2025,UPI AMAZON YEAR END ELECTRONICS,,30/12/2025,8500.00,,581115.00
